"Nome do anúncio",Objetivo,"Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Dia,"Status de veiculação","Nível de veiculação","Tipo de resultado",Resultados,"Custo por resultado","Valor gasto (BRL)",Impressões,Alcance,"Configuração de atribuição","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Nome do conjunto de anúncios",Hook,"Início dos relatórios","Encerramento dos relatórios"
Estático04,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250733983090675,2026-08-17,inactive,ad,"Conversas por mensagem iniciadas",1,8.61,8.61,637,557,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-17,2026-08-17
Estático01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711876060675,2026-08-17,active,ad,,,,4.2,172,141,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-17,2026-08-17
Estático02,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711928600675,2026-08-17,active,ad,"Conversas por mensagem iniciadas",2,13.495,26.99,1268,1049,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-17,2026-08-17
Vídeo-01,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431280675,2026-08-17,active,ad,"Conversas por mensagem iniciadas",2,3.465,6.93,431,405,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0.12064965,2026-08-17,2026-08-17
Vídeo-01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250681959970675,2026-08-17,active,ad,"Conversas por mensagem iniciadas",1,10.93,10.93,339,285,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0.2979351,2026-08-17,2026-08-17
Estático03,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250733933560675,2026-08-17,active,ad,"Conversas por mensagem iniciadas",2,8.635,17.27,1565,1322,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-17,2026-08-17
Estático01,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431240675,2026-08-16,inactive,ad,,,,11.55,1283,1069,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-16,2026-08-16
Vídeo-01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250681959970675,2026-08-16,active,ad,,,,7.48,258,219,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0.25581395,2026-08-16,2026-08-16
Estático02,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431270675,2026-08-16,active,ad,,,,2.93,163,143,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-16,2026-08-16
Estático03,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250733933560675,2026-08-16,active,ad,"Conversas por mensagem iniciadas",1,15.46,15.46,1676,1396,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-16,2026-08-16
Estático04,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250733983090675,2026-08-16,inactive,ad,,,,5.48,780,697,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0,2026-08-16,2026-08-16
Estático01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711876060675,2026-08-16,active,ad,"Conversas por mensagem iniciadas",1,7.05,7.05,387,307,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-16,2026-08-16
Estático02,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711928600675,2026-08-16,active,ad,"Conversas por mensagem iniciadas",1,19.1,19.1,752,605,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-16,2026-08-16
Vídeo-01,OUTCOME_ENGAGEMENT,120250717431260675,120250717431250675,120250717431280675,2026-08-16,active,ad,"Conversas por mensagem iniciadas",1,4.3,4.3,390,323,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[Maternidade][Whatsapp][Frio],0.11282051,2026-08-16,2026-08-16
Estático02,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711928600675,2026-08-15,active,ad,,,,15.32,1134,849,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-15,2026-08-15
Estático01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250711876060675,2026-08-15,active,ad,,,,4.7,395,319,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0,2026-08-15,2026-08-15
Vídeo-01,OUTCOME_ENGAGEMENT,120250681959960675,120250681959950675,120250681959970675,2026-08-15,active,ad,"Conversas por mensagem iniciadas",1,3.73,3.73,634,596,"Clique de 7 dias ou visualização de 1 dia",–,–,–,[EstágioProbatório][Whatsapp][Frio],0.17981073,2026-08-15,2026-08-15
